iter	Logloss
0	0.6873407029
1	0.6806680137
2	0.6744821111
3	0.6688131005
4	0.6633316452
5	0.6582203698
6	0.6534654056
7	0.6490823358
8	0.6448108477
9	0.6409086621
10	0.6371595856
11	0.6337399202
12	0.6303717615
13	0.6272279812
14	0.624127563
15	0.6211406002
16	0.6184933958
17	0.6159123216
18	0.613411348
19	0.6110208421
20	0.6087936739
21	0.6067618078
22	0.6048553018
23	0.6028741345
24	0.6011697658
25	0.59960396
26	0.5978966183
27	0.596512724
28	0.5951196688
29	0.5938306011
30	0.5925031647
31	0.5911392667
32	0.5898038158
33	0.5884421057
34	0.5873812014
35	0.5862775676
36	0.5852478618
37	0.5843335155
38	0.5834155868
39	0.5825082178
40	0.5816646674
41	0.5809511895
42	0.580240408
43	0.5795289328
44	0.578804803
45	0.5780323377
46	0.5774398147
47	0.5766299552
48	0.5759558711
49	0.5751374628
50	0.5746496838
51	0.5740388195
52	0.5734866953
53	0.5728646165
54	0.5722740404
55	0.5716073358
56	0.5710476656
57	0.5704257405
58	0.5699650623
59	0.5694695058
60	0.5690589091
61	0.5686567248
62	0.5682805596
63	0.567804413
64	0.5675112138
65	0.5668472572
66	0.5664483164
67	0.5660091342
68	0.5654814444
69	0.5651143356
70	0.5645865872
71	0.5642873483
72	0.5638538945
73	0.5634835499
74	0.5631509075
75	0.5626685452
76	0.562376197
77	0.5620368781
78	0.5618048342
79	0.5614970902
80	0.561078295
81	0.5608530779
82	0.5605672493
83	0.5601977216
84	0.5599501357
85	0.5595977322
86	0.5591788665
87	0.5588888292
88	0.5585542235
89	0.5582074289
90	0.5577472335
91	0.5574480705
92	0.5571599478
93	0.5567714785
94	0.5565756326
95	0.5564174957
96	0.5561244483
97	0.5557202923
98	0.5554425711
99	0.5551754839
100	0.5548235392
101	0.5545426688
102	0.554369684
103	0.5540167444
104	0.5537791633
105	0.5535053882
106	0.5532229458
107	0.553022298
108	0.5527344406
109	0.5524018817
110	0.552233534
111	0.5519428056
112	0.5517814379
113	0.551576067
114	0.5512902261
115	0.5509672723
116	0.5507499477
117	0.5503523099
118	0.550082384
119	0.549991128
120	0.5497091445
121	0.549515731
122	0.5492391289
123	0.5490366263
124	0.54902123
125	0.548554741
126	0.5481916549
127	0.5480313014
128	0.5477625915
129	0.5475812592
130	0.5474544622
131	0.547296234
132	0.5471433975
133	0.5469205308
134	0.5467374345
135	0.5465137416
136	0.5463317621
137	0.5461754145
138	0.5460812619
139	0.5459878638
140	0.5458062252
141	0.5456334504
142	0.545331071
143	0.5453140897
144	0.545089634
145	0.5448977535
146	0.5445343403
147	0.54430217
148	0.544023306
149	0.5437777968
150	0.5437717462
151	0.5435954526
152	0.543512694
153	0.5433950603
154	0.5431897614
155	0.5431720823
156	0.5428864089
157	0.5426815401
158	0.5425179944
159	0.5424010461
160	0.5421208663
161	0.5416518857
162	0.5415053376
163	0.5413657622
164	0.5410475853
165	0.5409486136
166	0.54072676
167	0.5406013501
168	0.5405352586
169	0.5403893325
170	0.5402886937
171	0.5402766021
172	0.5402502956
173	0.5402460527
174	0.5399681733
175	0.539893259
176	0.5397740583
177	0.5397248461
178	0.5396267992
179	0.5394618757
180	0.5394530331
181	0.5393079722
182	0.5392994299
183	0.5392246688
184	0.5389786922
185	0.5388456506
186	0.5386082149
187	0.5384858652
188	0.5382678939
189	0.5379993404
190	0.537806141
191	0.5376790329
192	0.5373857429
193	0.5373454549
194	0.5372658224
195	0.5372584845
196	0.5372485558
197	0.5369016506
198	0.5366897128
199	0.5364893231
200	0.5362804196
201	0.5361556601
202	0.535732594
203	0.5354651
204	0.5353786832
205	0.5353585147
206	0.535165839
207	0.5350076149
208	0.5347721485
209	0.5346943564
210	0.5344575321
211	0.5344181583
212	0.534363261
213	0.5340775405
214	0.5338890362
215	0.5336891751
216	0.5333770699
217	0.5332649678
218	0.5332049953
219	0.5330765661
220	0.5327393081
221	0.5325365334
222	0.5324158807
223	0.5323930881
224	0.5323037622
225	0.532171221
226	0.532045858
227	0.5318749654
228	0.5317707816
229	0.5316436967
230	0.5312136166
231	0.5309854929
232	0.5306682433
233	0.5304733853
234	0.5303545651
235	0.5303487837
236	0.5301933703
237	0.5300103284
238	0.5298439328
239	0.5298241099
240	0.5296881917
241	0.5296707906
242	0.5294876188
243	0.5293393985
244	0.5290884132
245	0.5290034867
246	0.5288961868
247	0.5286718245
248	0.5286416656
249	0.5283999325
250	0.5280816386
251	0.5279054163
252	0.5276519916
253	0.5276027674
254	0.5274019602
255	0.5271980375
256	0.5270586943
257	0.5269994368
258	0.526822685
259	0.5266154384
260	0.5266042625
261	0.5264538188
262	0.5262413153
263	0.5258724701
264	0.5256807744
265	0.5254571822
266	0.5253310586
267	0.5253233206
268	0.5253184666
269	0.5253030253
270	0.525121174
271	0.52509464
272	0.5250921351
273	0.5250790153
274	0.5250216665
275	0.5250113376
276	0.5249850085
277	0.5248400357
278	0.524764046
279	0.5245634596
280	0.5244380785
281	0.5243111628
282	0.524155243
283	0.5239484438
284	0.523760648
285	0.5235287872
286	0.5233105757
287	0.5231681331
288	0.5230515177
289	0.522900424
290	0.5228785364
291	0.522731725
292	0.5225777378
293	0.5225225766
294	0.5225174624
295	0.5222473063
296	0.5220192732
297	0.5219183246
298	0.5216686807
299	0.5215924931
300	0.5214327008
301	0.5213864486
302	0.5213073619
303	0.5211511767
304	0.5208602091
305	0.5205222889
306	0.5204545563
307	0.5203107897
308	0.5201185633
309	0.5198967504
310	0.5196376362
311	0.5195217245
312	0.5193485624
313	0.5193236354
314	0.5192377378
315	0.5191120652
316	0.5189225246
317	0.518781508
318	0.5186736757
319	0.5185176753
320	0.5185120337
321	0.5183208988
322	0.5181891136
323	0.5181852732
324	0.5181807269
325	0.5181777012
326	0.5181745815
327	0.5181691088
328	0.5180657352
329	0.5178275261
330	0.5176234484
331	0.5174643753
332	0.5174477857
333	0.5174429723
334	0.5172709679
335	0.5170498942
336	0.5170452547
337	0.5169219756
338	0.5168142167
339	0.5166285455
340	0.5163989008
341	0.5161702319
342	0.51609815
343	0.515949115
344	0.5158853373
345	0.5158200534
346	0.5156442507
347	0.5154849642
348	0.5153349438
349	0.515318628
350	0.5152319013
351	0.5151100585
352	0.5151047384
353	0.5150384418
354	0.5148541855
355	0.5148414086
356	0.5144844017
357	0.5143880135
358	0.5142372112
359	0.514207613
360	0.5138578098
361	0.513649065
362	0.5135482287
363	0.5134869599
364	0.5133545475
365	0.5132450666
366	0.5132288671
367	0.5132166755
368	0.5131795276
369	0.5131470276
370	0.5129588474
371	0.512816889
372	0.5126428587
373	0.5126397228
374	0.5125692818
375	0.5124938146
376	0.5123716749
377	0.5123059069
378	0.5121325807
379	0.5120885953
380	0.5119203798
381	0.5116692831
382	0.5115400362
383	0.511363844
384	0.5111280723
385	0.5109558295
386	0.5108344114
387	0.5106338434
388	0.5104354035
389	0.5104044383
390	0.5102434001
391	0.5100274276
392	0.5098721519
393	0.5096696942
394	0.5094284353
395	0.5092665553
396	0.5092241804
397	0.5091694577
398	0.5090995201
399	0.5090009903
400	0.5089423215
401	0.5088642094
402	0.5087202613
